MeetID,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
1,GSF-Belarus,2019-06-22,Belarus,,Luninets,Bison Power Cup
10,GSF-Belarus,2019-06-22,Belarus,,Luninets,Bison Power Cup
100,WPFG,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games
1000,WPPO,2021-11-28,Georgia,,Tblisi,World Senior Championships
10000,WPPO,2016-02-24,Malaysia,,Kuala Lumpur,World Cup
100000,USPC,2025-01-04,USA,VA,Danville,2nd King of the Club
1000000,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000001,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000002,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000003,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000004,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000005,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000006,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000007,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000008,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000009,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
100001,USPC,2025-01-04,USA,VA,Danville,2nd King of the Club
1000010,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000011,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000012,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000013,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000014,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000015,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000016,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000017,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000018,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000019,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
100002,USPC,2025-01-04,USA,VA,Danville,2nd King of the Club
1000020,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000021,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000022,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000023,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000024,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000025,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000026,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000027,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000028,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000029,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
100003,USPC,2025-01-04,USA,VA,Danville,2nd King of the Club
1000030,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000031,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000032,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000033,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000034,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000035,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000036,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000037,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000038,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000039,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
100004,USPC,2025-01-04,USA,VA,Danville,2nd King of the Club
1000040,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000041,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000042,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000043,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000044,THSWPA,2019-01-17,USA,TX,Hitchcock,Hitchcock Girls Powerlifting Meet
1000045,THSWPA,2014-01-25,USA,TX,Sulphur Springs Texas,Sulphur Springs Invitational-Girls
1000046,THSWPA,2014-01-25,USA,TX,Sulphur Springs Texas,Sulphur Springs Invitational-Girls
1000047,THSWPA,2014-01-25,USA,TX,Sulphur Springs Texas,Sulphur Springs Invitational-Girls
1000048,THSWPA,2014-01-25,USA,TX,Sulphur Springs Texas,Sulphur Springs Invitational-Girls
